GeneName	NV_controlLung86	NV_controlLung87	NV_controlLung88	NV_controlLung89	NV_fer1Lung2	NV_fer1Lung3	NV_fer1Lung4	NV_fer1Lung10	NV_vehLung1	NV_vehLung2	NV_vehLung3	NV_vehLung4
Arsj	48	37	84	59	44	102	128	291	115	131	48	131
Gad1	14	5	5	8	7	13	8	91	16	24	12	6
Alx4	0	0	0	0	1	0	0	0	0	0	0	0
Tmco5b	0	0	0	0	1	1	0	1	0	0	2	0
Cbln1	0	3	0	0	0	0	0	0	0	12	2	0
Tcf15	4	2	2	0	0	8	2	11	9	7	3	10
Steap1	2	3	5	9	9	26	23	57	53	33	17	62
AABR07061902.1	0	0	0	1	0	0	0	0	0	0	0	0
Hebp1	653	607	601	532	524	1093	1463	3489	1350	921	872	835
Tmcc2	6200	4271	4264	4011	1341	1693	3140	6390	2459	1999	1279	1561
Nuak2	541	406	487	388	279	539	987	1527	778	679	389	572
Tmed11	0	0	0	0	0	0	0	0	0	0	0	0
Klhdc8a	29	40	16	32	19	35	15	80	51	46	18	28
RGD1304622	209	148	133	162	154	222	220	720	299	202	124	238
Slc26a1	0	1	0	0	2	3	4	6	8	0	1	0
Xpr1	550	616	703	556	476	860	1117	3403	832	722	531	598
Idua	1369	1016	1061	1149	787	1565	2087	4960	1940	1606	1144	1426
Tmem175	487	386	383	404	277	492	654	1678	578	612	367	482
Cd82	2187	2017	1943	1904	1239	2719	3476	8531	3316	3141	1976	2673
Gak	2349	2535	2301	2294	1660	3135	3521	9446	2900	2839	1974	2608
ENSRNOG00000000053	8	4	1	0	0	4	0	10	2	3	0	3
Abhd8	322	306	258	345	142	282	449	1270	351	308	243	433
Fcrl6	0	0	0	0	3	8	0	1	0	1	4	1
Pcgf3	755	786	705	632	478	852	1042	2845	859	844	448	796
Atp5me	733	817	671	727	515	1077	1154	3382	1167	982	616	976
Pde6b	0	0	0	0	0	0	0	1	2	0	0	0
Fbxo28	546	564	567	470	367	613	833	2218	715	614	424	531
Ppp2r5a	2433	2695	2673	2573	1170	2991	3358	8516	2748	2293	1757	2334
Dr1	1273	1591	1467	1295	908	1716	2174	5834	1895	1614	978	1523
Tmed5	591	576	486	357	339	616	904	2175	731	764	359	501
Mtf2	436	356	352	298	217	470	564	1385	420	447	281	349
Antxr2	2530	2032	2130	1732	1410	2455	3483	7107	2880	2623	1334	2041
Hltf	1018	947	889	837	680	1680	2003	4539	1466	1426	871	1212
Smad9	522	930	1083	1057	389	713	966	2716	470	407	311	517
Gpr89b	567	521	530	548	425	716	963	2521	779	693	468	583
Pdzk1	1	1	0	0	1	2	6	5	0	6	5	1
ENSRNOG00000000097	2	0	1	3	2	19	2	19	2	4	4	8
Rnf115	1506	1469	1308	1212	906	1800	2200	5754	1934	1711	1108	1477
Thoc3	529	530	516	498	332	723	823	2467	785	620	436	708
Cplx2	272	343	300	308	218	300	513	1215	373	371	204	219
Aga	1363	1542	1242	1410	867	1857	2013	5960	1929	1649	1111	1244
Fgf20	0	1	0	0	0	0	0	0	0	0	0	0
Coprs	228	205	172	231	150	270	312	885	343	298	183	303
Champ1	699	743	678	642	469	878	931	2718	900	850	560	746
Elac1	189	195	173	206	113	224	273	860	263	245	126	186
Pigv	242	315	183	236	159	251	296	814	330	429	132	243
Ak2	844	937	844	862	597	1244	1596	4632	1424	1236	797	1354
Rnf19b	1005	1173	1037	1070	546	1148	1727	3811	1616	1243	671	1056
ENSRNOG00000000124	0	0	0	0	0	0	0	0	0	0	0	0
Kpna6	740	662	696	557	503	763	904	2543	735	871	518	601
Phf24	26	4	55	20	18	11	28	49	37	13	28	9
Dnajb5	517	350	338	300	292	490	611	1528	735	653	316	505
Txndc15	1282	1412	1135	1291	830	1359	1671	4704	1788	1581	866	1393
Ly86	189	168	155	139	124	476	410	871	421	380	210	288
Glis1	22	15	6	16	10	10	13	64	30	20	24	13
Plxdc2	2397	1867	1613	1766	1573	2749	2930	7697	3273	3102	1770	2275
Pik3r3	1725	1766	1575	1659	1227	2153	3324	7552	2536	2098	1300	1874
Dnajc1	860	936	848	832	625	1102	1460	3843	1596	1142	793	1003
Ldlrap1	1080	1071	1104	979	819	1265	1538	4470	1386	1340	744	1200
Cog3	866	764	805	693	518	855	1150	3091	909	839	550	746
Megf6	1940	1667	1272	1774	851	1595	2577	6954	2385	1694	1208	1566
Atg12	1027	1097	1077	1048	671	1310	1590	4347	1524	1278	787	1211
Cdo1	2613	2345	2011	1962	2146	1889	2654	8622	3041	2210	780	2333
Chm	742	707	739	611	515	963	1262	3121	906	980	532	619
Lamp2	7769	7548	6919	6215	5146	10754	14369	33597	10212	10015	7123	7723
Pfkfb1	151	100	89	51	96	101	135	495	154	113	87	105
Apex2	126	185	139	157	97	194	228	653	198	193	116	164
Alas2	1398	1019	719	884	514	547	1014	1703	617	714	414	382
Gatm	1187	1280	980	793	940	1832	2072	4856	1803	1290	853	1532
Spata5l1	99	113	116	127	63	150	156	401	184	123	75	126
Slc30a4	1399	1294	1455	1403	955	1873	2522	6187	2263	1972	1091	1764
Sqor	2024	2593	1990	1899	1795	2878	3464	9625	2376	2139	1655	2288
Mier2	90	104	69	75	39	64	98	288	97	79	50	125
Plpp2	278	360	294	361	133	335	416	1150	418	275	197	287
Tmprss6	2	2	0	4	1	2	2	3	0	1	1	3
Mpst	789	793	771	787	515	689	1021	3470	964	825	582	798
Tst	1315	1307	1136	1311	684	1177	1741	5032	1417	1445	880	1190
Csf2rb	506	479	428	324	556	1644	1764	2786	982	1498	1241	1319
Ep300	0	0	0	0	0	0	0	0	0	0	0	0
Vwa5a	3908	4469	3499	3384	3032	4850	6918	15620	6610	6026	4266	3881
Cyp19a1	0	0	0	0	0	0	0	0	1	0	0	0
Dppa5	1	0	1	0	0	1	2	0	1	0	0	0
Gsta5	0	0	0	0	0	0	0	0	0	0	1	0
Syncrip	3561	3564	3418	3140	1873	3844	4738	13273	4203	3960	2374	3298
Ano10	1427	1501	1302	1356	1079	1820	2413	6136	1838	1697	1363	1513
Abhd5	2801	2741	2318	2422	1742	3809	4505	12145	4101	3204	2519	2525
Lmf1	259	261	253	233	176	328	446	1084	371	286	256	325
Kctd17	155	116	115	134	149	218	307	795	279	341	133	276
Grm6	0	0	0	0	0	0	0	0	0	0	0	0
Zfp207	2263	2027	2079	1932	1285	2452	2903	7214	2275	2371	1295	2086
RGD1310429	231	299	259	221	236	311	375	1017	275	330	242	235
Ccl7	117	64	92	71	19	252	467	211	198	443	107	446
Coil	254	192	205	196	141	253	240	750	312	275	154	215
Slc16a6	89	161	160	121	147	343	467	969	607	438	324	285
Amz2	991	999	884	957	612	1157	1183	4042	945	1032	696	892
Mfsd11	528	540	525	488	396	934	1411	2723	862	970	646	816
Srsf2	3852	2780	2868	2829	1623	3234	4058	11701	5076	4418	2214	4260
Mettl23	151	161	143	128	106	211	219	646	192	181	89	137
Jmjd6	464	387	353	343	196	365	445	1091	518	427	235	447
St6galnac1	0	0	0	0	0	0	3	3	3	0	2	6
Smpd3	88	56	42	120	28	80	50	206	58	380	68	81
Prmt7	656	659	611	532	400	746	802	2384	832	773	461	826
Zfp821	481	459	432	503	278	564	646	1732	661	481	242	487
Def8	334	432	358	479	317	699	702	1983	595	533	466	569
Phyhipl	323	578	390	521	208	469	962	1878	447	284	304	363
Fam13c	600	605	636	535	207	546	768	1701	412	351	188	414
Tet1	27	45	43	33	24	57	80	186	23	38	21	23
Rtn4ip1	84	73	54	167	102	203	158	394	373	124	151	269
Prodh1	361	175	185	214	277	320	462	1154	553	495	268	284
